sku,category,brand,name,description,cost,quote_price,url,notes
,Grips,Golf Pride,Grip - standard rubber,Common replacement grip,,0,https://www.golfworks.com/grips/,"Baseline placeholder; replace with actual SKU and price"
,Grips,Lamkin,Grip - standard rubber,Common replacement grip,,0,https://www.golfworks.com/grips/,"Baseline placeholder; replace with actual SKU and price"
,Grips,Winn,Grip - comfort / wrap,Common replacement grip,,0,https://www.golfworks.com/grips/,"Baseline placeholder; replace with actual SKU and price"
,Grips,SuperStroke,Putter grip,Common putter grip,,0,https://www.golfworks.com/grips/,"Baseline placeholder; replace with actual SKU and price"
,Shafts,True Temper,Steel iron shaft,Common steel iron shaft,,0,https://www.golfworks.com/shafts/,"Baseline placeholder; replace with actual SKU and price"
,Shafts,KBS,Steel iron shaft,Common steel iron shaft,,0,https://www.golfworks.com/shafts/,"Baseline placeholder; replace with actual SKU and price"
,Shafts,Project X,Steel / graphite shaft,Common replacement shaft,,0,https://www.golfworks.com/shafts/,"Baseline placeholder; replace with actual SKU and price"
,Shafts,Fujikura,Graphite wood shaft,Common driver/fairway shaft,,0,https://www.golfworks.com/shafts/,"Baseline placeholder; replace with actual SKU and price"
,Ferrules,The GolfWorks,Iron ferrule,Replacement ferrule,,0,https://www.golfworks.com/ferrule-supplies/,"Baseline placeholder; replace with actual SKU and price"
,Ferrules,The GolfWorks,Wood ferrule,Replacement ferrule,,0,https://www.golfworks.com/ferrule-supplies/,"Baseline placeholder; replace with actual SKU and price"
,Adapters,The GolfWorks,Shaft adapter sleeve,OEM-style shaft adapter,,0,https://www.golfworks.com/oem-supplies/,"Baseline placeholder; replace with actual SKU and price"
,Adapters,The GolfWorks,Adapter ferrule / screw,OEM adapter component,,0,https://www.golfworks.com/oem-supplies/,"Baseline placeholder; replace with actual SKU and price"
,Epoxy / supplies,The GolfWorks,Shafting epoxy,Club assembly epoxy,,0,https://www.golfworks.com/epoxy-supplies/,"Baseline placeholder; replace with actual SKU and price"
,Epoxy / supplies,The GolfWorks,Grip tape,Grip installation supply,,0,https://www.golfworks.com/gripping-supplies/,"Baseline placeholder; replace with actual SKU and price"
,Epoxy / supplies,The GolfWorks,Grip solvent,Grip installation supply,,0,https://www.golfworks.com/gripping-supplies/,"Baseline placeholder; replace with actual SKU and price"
,Weights,The GolfWorks,Lead tape,Swingweight adjustment,,0,https://www.golfworks.com/swingweight-supplies/,"Baseline placeholder; replace with actual SKU and price"
,Weights,The GolfWorks,Tip weight,Swingweight / build weight,,0,https://www.golfworks.com/swingweight-supplies/,"Baseline placeholder; replace with actual SKU and price"
,Weights,The GolfWorks,Counterweight / plug,Build weight component,,0,https://www.golfworks.com/swingweight-supplies/,"Baseline placeholder; replace with actual SKU and price"
,Extensions,The GolfWorks,Steel shaft extension,Length adjustment component,,0,https://www.golfworks.com/shaft-extensions/,"Baseline placeholder; replace with actual SKU and price"
,Extensions,The GolfWorks,Graphite shaft extension,Length adjustment component,,0,https://www.golfworks.com/shaft-extensions/,"Baseline placeholder; replace with actual SKU and price"
